T ,P_sat ,vol_f ,vol_g,h_f ,h_g ,mu_f ,k_f ,Pr_f,mu_g 
1.000000000000,657.078460000000,0.001000152200,192.454880000000,4176.622700000000,2502740.500000000000,0.001731108700,0.558889160000,13.060630000000,0.00000923947620
2.000000000000,705.968860000000,0.001000110500,179.775750000000,8391.732100000000,2504574.700000000000,0.001673627600,0.561399260000,12.561239000000,0.00000926317470
3.000000000000,758.054270000000,0.001000085900,168.027430000000,12603.852000000000,2506408.100000000000,0.001619134700,0.563857340000,12.091002000000,0.00000928711890
4.000000000000,813.512710000000,0.001000077800,157.135170000000,16813.199000000000,2508240.600000000000,0.001567423200,0.566265620000,11.647668000000,0.00000931130370
5.000000000000,872.530220000000,0.001000085600,147.030690000000,21019.976000000000,2510072.300000000000,0.001518303700,0.568626200000,11.229202000000,0.00000933572390
6.000000000000,935.301170000000,0.001000109000,137.651620000000,25224.370000000000,2511903.200000000000,0.001471603000,0.570941010000,10.833758000000,0.00000936037480
7.000000000000,1002.028500000000,0.001000147400,128.940890000000,29426.555000000000,2513733.200000000000,0.001427161700,0.573211870000,10.459657000000,0.00000938525150
8.000000000000,1072.923900000000,0.001000200400,120.846320000000,33626.692000000000,2515562.400000000000,0.001384833700,0.575440490000,10.105373000000,0.00000941034930
9.000000000000,1148.208400000000,0.001000267600,113.320120000000,37824.931000000000,2517390.600000000000,0.001344484400,0.577628440000,9.769513700000,0.00000943566370
10.000000000000,1228.112200000000,0.001000348500,106.318500000000,42021.414000000000,2519218.000000000000,0.001305989700,0.579777230000,9.450807000000,0.00000946119040
11.000000000000,1312.875300000000,0.001000443000,99.801350000000,46216.271000000000,2521044.400000000000,0.001269235300,0.581888240000,9.148089500000,0.00000948692490
12.000000000000,1402.747800000000,0.001000550400,93.731856000000,50409.624000000000,2522870.000000000000,0.001234115500,0.583962800000,8.860295400000,0.00000951286320
13.000000000000,1497.989800000000,0.001000670700,88.076245000000,54601.588000000000,2524694.500000000000,0.001200532600,0.586002110000,8.586446600000,0.00000953900110
14.000000000000,1598.872300000000,0.001000803400,82.803503000000,58792.269000000000,2526518.200000000000,0.001168396100,0.588007340000,8.325644500000,0.00000956533470
15.000000000000,1705.677000000000,0.001000948200,77.885135000000,62981.769000000000,2528340.800000000000,0.001137622100,0.589979560000,8.077061900000,0.00000959186000
16.000000000000,1818.696800000000,0.001001104900,73.294945000000,67170.181000000000,2530162.400000000000,0.001108132800,0.591919790000,7.839936900000,0.00000961857330
17.000000000000,1938.236000000000,0.001001273200,69.008838000000,71357.594000000000,2531983.000000000000,0.001079856000,0.593828980000,7.613566200000,0.00000964547090
18.000000000000,2064.610900000000,0.001001452900,65.004636000000,75544.091000000000,2533802.600000000000,0.001052724300,0.595708030000,7.397300300000,0.00000967254910
19.000000000000,2198.149900000000,0.001001643700,61.261921000000,79729.749000000000,2535621.100000000000,0.001026675200,0.597557790000,7.190538400000,0.00000969980430
